entity_type,entity_id,resource,identifier
drug,DB00001,Drugs Product Database (DPD),11916
drug,DB00001,PubChem Substance,46507011
drug,DB00001,KEGG Drug,D06880
drug,DB00001,PharmGKB,PA450195
drug,DB00001,UniProtKB,P01050
drug,DB00001,Therapeutic Targets Database,DAP000541
drug,DB00001,Wikipedia,Lepirudin
drug,DB00001,ChEMBL,CHEMBL1201666
drug,DB00001,RxCUI,237057
drug,DB00002,Drugs Product Database (DPD),13175
drug,DB00002,PubChem Substance,46507042
drug,DB00002,KEGG Drug,D03455
drug,DB00002,GenBank,J00228
drug,DB00002,PharmGKB,PA10040
drug,DB00002,Therapeutic Targets Database,DNC000788
drug,DB00002,Wikipedia,Cetuximab
drug,DB00002,ChEMBL,CHEMBL1201577
drug,DB00002,RxCUI,318341
drug,DB00003,Drugs Product Database (DPD),650
drug,DB00003,PubChem Substance,46507792
drug,DB00003,GenBank,M55983
drug,DB00003,PharmGKB,PA10318
drug,DB00003,UniProtKB,P24855
drug,DB00003,Therapeutic Targets Database,DAP000981
drug,DB00003,Wikipedia,Dornase_alfa
drug,DB00003,ChEMBL,CHEMBL1201431
drug,DB00003,RxCUI,337623
drug,DB00004,PubChem Substance,46506950
drug,DB00004,GenBank,V01536
drug,DB00004,PharmGKB,PA164750594
drug,DB00004,UniProtKB,P00587
drug,DB00004,Therapeutic Targets Database,DAP001098
drug,DB00004,Wikipedia,Denileukin_diftitox
drug,DB00004,ChEMBL,CHEMBL1201550
drug,DB00004,RxCUI,214470
drug,DB00005,Drugs Product Database (DPD),12032
drug,DB00005,PubChem Substance,46506732
drug,DB00005,KEGG Compound,C07897
drug,DB00005,KEGG Drug,D00742
drug,DB00005,GenBank,M32315
drug,DB00005,PharmGKB,PA449515
drug,DB00005,UniProtKB,P20333
drug,DB00005,Therapeutic Targets Database,DNC000605
drug,DB00005,Wikipedia,Etanercept
drug,DB00005,ChEMBL,CHEMBL1201572
drug,DB00005,RxCUI,214555
drug,DB00006,Drugs Product Database (DPD),12945
drug,DB00006,ChEBI,59173
drug,DB00006,PubChem Compound,16129704
drug,DB00006,PubChem Substance,46507415
drug,DB00006,KEGG Drug,D03136
drug,DB00006,ChemSpider,10482069
drug,DB00006,BindingDB,50248103
drug,DB00006,PharmGKB,PA10032
drug,DB00006,Therapeutic Targets Database,DAP000542
drug,DB00006,Wikipedia,Bivalirudin
drug,DB00006,ChEMBL,CHEMBL2103749
drug,DB00006,RxCUI,60819
drug,DB00007,Drugs Product Database (DPD),1756
drug,DB00007,Drugs Product Database (DPD),23683
drug,DB00007,ChEBI,6427
drug,DB00007,PubChem Substance,46507635
drug,DB00007,KEGG Compound,C07612
drug,DB00007,KEGG Drug,D08113
drug,DB00007,ChemSpider,571356
drug,DB00007,BindingDB,50369395
drug,DB00007,PharmGKB,PA450203
drug,DB00007,Therapeutic Targets Database,DAP000020
drug,DB00007,Wikipedia,Leuprorelin
drug,DB00007,ChEMBL,CHEMBL1201199
drug,DB00007,RxCUI,42375
drug,DB00008,Drugs Product Database (DPD),13246
drug,DB00008,PubChem Substance,46504860
drug,DB00008,GenBank,J00207
drug,DB00008,PharmGKB,PA164749390
drug,DB00008,UniProtKB,P01563
drug,DB00008,Therapeutic Targets Database,DAP001278
drug,DB00008,Wikipedia,Peginterferon_alfa-2a
drug,DB00008,ChEMBL,CHEMBL1201560
drug,DB00008,RxCUI,120608
drug,DB00009,Drugs Product Database (DPD),7297
drug,DB00009,PubChem Substance,46507035
drug,DB00009,KEGG Drug,D02837
drug,DB00009,GenBank,L00153
drug,DB00009,PharmGKB,PA164776730
drug,DB00009,UniProtKB,P00750
drug,DB00009,Therapeutic Targets Database,DAP000203
drug,DB00009,Wikipedia,Alteplase
drug,DB00009,ChEMBL,CHEMBL1201593
drug,DB00009,RxCUI,8410
drug,DB00010,PubChem Substance,46507399
drug,DB00010,KEGG Compound,C08192
drug,DB00010,PharmGKB,PA164749110
drug,DB00010,Therapeutic Targets Database,DAP001055
drug,DB00010,Wikipedia,Sermorelin
drug,DB00010,RxCUI,56188
drug,DB00011,Drugs Product Database (DPD),7651
drug,DB00011,PubChem Substance,46506227
drug,DB00011,GenBank,J00207
drug,DB00011,PharmGKB,PA164746538
drug,DB00011,UniProtKB,P01563
drug,DB00011,Therapeutic Targets Database,DAP001280
drug,DB00011,ChEMBL,CHEMBL2108509
drug,DB00011,RxCUI,202912
drug,DB00012,Drugs Product Database (DPD),12550
drug,DB00012,PubChem Substance,46504480
drug,DB00012,GenBank,X02158
drug,DB00012,PharmGKB,PA164743138
drug,DB00012,UniProtKB,P01588
drug,DB00012,Therapeutic Targets Database,DAP000800
drug,DB00012,Wikipedia,Darbepoetin_alfa
drug,DB00012,ChEMBL,CHEMBL1201566
drug,DB00012,RxCUI,283838
drug,DB00013,Drugs Product Database (DPD),2012
drug,DB00013,PubChem Substance,46506299
drug,DB00013,GenBank,X02419
drug,DB00013,PharmGKB,PA451836
drug,DB00013,UniProtKB,P00749
drug,DB00013,Therapeutic Targets Database,DAP001194
drug,DB00013,Wikipedia,Urokinase
drug,DB00013,ChEMBL,CHEMBL1201420
drug,DB00013,RxCUI,11055
drug,DB00014,Drugs Product Database (DPD),11167
drug,DB00014,ChEBI,5523
drug,DB00014,PubChem Compound,5311128
drug,DB00014,PubChem Substance,46507336
drug,DB00014,KEGG Drug,D00573
drug,DB00014,ChemSpider,4470656
drug,DB00014,BindingDB,50247974
drug,DB00014,PharmGKB,PA164747674
drug,DB00014,Therapeutic Targets Database,DAP000023
drug,DB00014,Wikipedia,Goserelin
drug,DB00014,ChEMBL,CHEMBL1201247
drug,DB00014,RxCUI,50610
drug,DB00015,Drugs Product Database (DPD),11534
drug,DB00015,PubChem Substance,46506092
drug,DB00015,GenBank,L00153
drug,DB00015,PharmGKB,PA164743728
drug,DB00015,UniProtKB,P00750
drug,DB00015,Therapeutic Targets Database,DAP001195
drug,DB00015,Wikipedia,Reteplase
drug,DB00015,ChEMBL,CHEMBL2107885
drug,DB00015,RxCUI,76895
drug,DB00016,Drugs Product Database (DPD),299
drug,DB00016,PubChem Substance,46508122
drug,DB00016,GenBank,X02158
drug,DB00016,PharmGKB,PA10072
drug,DB00016,UniProtKB,P01588
drug,DB00016,Therapeutic Targets Database,DAP000202
drug,DB00016,Wikipedia,Epoetin_alfa
drug,DB00016,ChEMBL,CHEMBL1201565
drug,DB00016,RxCUI,105694
drug,DB00017,Drugs Product Database (DPD),13186
drug,DB00017,PubChem Substance,46506061
drug,DB00017,KEGG Compound,C06865
drug,DB00017,KEGG Drug,D00249
drug,DB00017,GenBank,Y00765
drug,DB00017,PharmGKB,PA448715
drug,DB00017,UniProtKB,P01263
drug,DB00017,Therapeutic Targets Database,DAP001302
drug,DB00017,Wikipedia,Calcitonin
drug,DB00017,RxCUI,36118
drug,DB00018,PubChem Substance,46508902
drug,DB00018,PharmGKB,PA164746228
drug,DB00018,Therapeutic Targets Database,DAP001281
drug,DB00018,Wikipedia,Interferon_alpha-n3
drug,DB00018,ChEMBL,CHEMBL2109047
drug,DB00018,RxCUI,612937
drug,DB00019,Drugs Product Database (DPD),12313
drug,DB00019,PubChem Substance,46505853
drug,DB00019,KEGG Drug,D06889
drug,DB00019,GenBank,X03438
drug,DB00019,PharmGKB,PA164781387
drug,DB00019,UniProtKB,P09919
drug,DB00019,Therapeutic Targets Database,DAP000395
drug,DB00019,Wikipedia,Pegfilgrastim
drug,DB00019,ChEMBL,CHEMBL1201568
drug,DB00019,RxCUI,338036
drug,DB00020,PubChem Substance,46507000
drug,DB00020,GenBank,M13207
drug,DB00020,PharmGKB,PA164748631
drug,DB00020,UniProtKB,P04141
drug,DB00020,Therapeutic Targets Database,DAP001053
drug,DB00020,Wikipedia,Sargramostim
drug,DB00020,ChEMBL,CHEMBL1201670
drug,DB00020,RxCUI,69634
drug,DB00022,Drugs Product Database (DPD),12036
drug,DB00022,PubChem Substance,46506669
drug,DB00022,PharmGKB,PA164784024
drug,DB00022,UniProtKB,P01563
drug,DB00022,Therapeutic Targets Database,DAP001279
drug,DB00022,Wikipedia,Peginterferon_alfa-2b
drug,DB00022,ChEMBL,CHEMBL1201561
drug,DB00022,RxCUI,253453
drug,DB00023,Drugs Product Database (DPD),2433
drug,DB00023,PubChem Substance,46507633
drug,DB00023,GenBank,U00096
drug,DB00023,PharmGKB,PA448492
drug,DB00023,UniProtKB,P37595
drug,DB00023,Wikipedia,Asparaginase
drug,DB00023,ChEMBL,CHEMBL2108989
drug,DB00023,RxCUI,1156
drug,DB00024,Drugs Product Database (DPD),12790
drug,DB00024,PubChem Substance,46505696
drug,DB00024,GenBank,M16647
drug,DB00024,PharmGKB,PA164746560
drug,DB00024,UniProtKB,P01225
drug,DB00024,Therapeutic Targets Database,DAP001248
drug,DB00024,Wikipedia,Thyroid-stimulating_hormone
drug,DB00024,ChEMBL,CHEMBL1201533
drug,DB00024,RxCUI,4952
drug,DB00025,Drugs Product Database (DPD),745
drug,DB00025,Drugs Product Database (DPD),9847
drug,DB00025,Drugs Product Database (DPD),12787
drug,DB00025,Drugs Product Database (DPD),22826
drug,DB00025,PubChem Substance,46506209
drug,DB00025,GenBank,M14113
drug,DB00025,PharmGKB,PA164750168
drug,DB00025,UniProtKB,P00451
drug,DB00025,Wikipedia,Antihemophilic_Factor
drug,DB00025,ChEMBL,CHEMBL2108175
drug,DB00025,RxCUI,1300486
drug,DB00026,Drugs Product Database (DPD),12604
drug,DB00026,PubChem Substance,46507944
drug,DB00026,KEGG Drug,D02934
drug,DB00026,GenBank,M55646
drug,DB00026,PharmGKB,PA10799
drug,DB00026,UniProtKB,P18510
drug,DB00026,Therapeutic Targets Database,DAP000095
drug,DB00026,Wikipedia,Anakinra
drug,DB00026,ChEMBL,CHEMBL1201570
drug,DB00026,RxCUI,72435
drug,DB00027,Drugs Product Database (DPD),8523
drug,DB00027,PubChem Compound,45267103
drug,DB00027,PubChem Substance,46507412
drug,DB00027,KEGG Drug,D04369
drug,DB00027,ChemSpider,24623445
drug,DB00027,PharmGKB,PA449808
drug,DB00027,Therapeutic Targets Database,DAP001327
drug,DB00027,Wikipedia,Gramicidin
drug,DB00027,ChEMBL,CHEMBL557217
drug,DB00027,RxCUI,5011
drug,DB00028,Drugs Product Database (DPD),7773
drug,DB00028,Drugs Product Database (DPD),15161
drug,DB00028,Drugs Product Database (DPD),22953
drug,DB00028,PubChem Substance,46508774
drug,DB00028,GenBank,J00221
drug,DB00028,PharmGKB,PA164754884
drug,DB00028,UniProtKB,P01877
drug,DB00028,RxCUI,1426680
drug,DB00029,Drugs Product Database (DPD),1199
drug,DB00029,PubChem Substance,46504487
drug,DB00029,GenBank,L00153
drug,DB00029,PharmGKB,PA164769075
drug,DB00029,UniProtKB,P00750
drug,DB00029,Therapeutic Targets Database,DAP001197
drug,DB00029,Wikipedia,Anistreplase
drug,DB00029,ChEMBL,CHEMBL2108250
drug,DB00029,RxCUI,40028
drug,DB00030,Drugs Product Database (DPD),20125
drug,DB00030,Drugs Product Database (DPD),7672
drug,DB00030,Drugs Product Database (DPD),7671
drug,DB00030,Drugs Product Database (DPD),7326
drug,DB00030,ChEBI,5931
drug,DB00030,PubChem Substance,46506231
drug,DB00030,KEGG Compound,C00723
drug,DB00030,KEGG Drug,D03230
drug,DB00030,GenBank,AY137503
drug,DB00030,PharmGKB,PA164744571
drug,DB00030,UniProtKB,Q8HXV2
drug,DB00030,Therapeutic Targets Database,DAP000802
drug,DB00030,Wikipedia,Insulin
drug,DB00030,RxCUI,253182
drug,DB00031,Drugs Product Database (DPD),12468
drug,DB00031,PubChem Substance,46508657
drug,DB00031,KEGG Drug,D06070
drug,DB00031,GenBank,L00153
drug,DB00031,PharmGKB,PA164776757
drug,DB00031,UniProtKB,P00750
drug,DB00031,Therapeutic Targets Database,DAP000204
drug,DB00031,Wikipedia,Tenecteplase
drug,DB00031,ChEMBL,CHEMBL2108791
drug,DB00031,RxCUI,259280
drug,DB00032,Drugs Product Database (DPD),7369
drug,DB00032,PubChem Substance,46504503
drug,DB00032,GenBank,X00264
drug,DB00032,PharmGKB,PA164749406
drug,DB00032,UniProtKB,P01229
drug,DB00032,Therapeutic Targets Database,DAP001027
drug,DB00032,Wikipedia,Menotropin
drug,DB00032,ChEMBL,CHEMBL2108427
drug,DB00032,RxCUI,1594665
drug,DB00033,PubChem Substance,46507194
drug,DB00033,GenBank,X13274
drug,DB00033,PharmGKB,PA164746386
drug,DB00033,UniProtKB,P01579
drug,DB00033,Therapeutic Targets Database,DAP001286
drug,DB00033,Wikipedia,Interferon_gamma
drug,DB00033,ChEMBL,CHEMBL1201564
drug,DB00033,RxCUI,5882
drug,DB00034,Drugs Product Database (DPD),1746
drug,DB00034,PubChem Substance,46506712
drug,DB00034,GenBank,J00207
drug,DB00034,PharmGKB,PA164779048
drug,DB00034,UniProtKB,P01563
drug,DB00034,Therapeutic Targets Database,DAP000801
drug,DB00034,Wikipedia,Peginterferon_alfa-2a
drug,DB00034,RxCUI,5879
drug,DB00035,Drugs Product Database (DPD),2155
drug,DB00035,Drugs Product Database (DPD),19910
drug,DB00035,Drugs Product Database (DPD),20181
drug,DB00035,ChEBI,4450
drug,DB00035,KEGG Compound,C06944
drug,DB00035,KEGG Drug,D00291
drug,DB00035,ChemSpider,4470602
drug,DB00035,BindingDB,50247923
drug,DB00035,PharmGKB,PA449237
drug,DB00035,Therapeutic Targets Database,DNC000526
drug,DB00035,Wikipedia,Desmopressin
drug,DB00035,ChEMBL,CHEMBL1429
drug,DB00035,RxCUI,3251
drug,DB00036,Drugs Product Database (DPD),13301
drug,DB00036,PubChem Substance,46507544
drug,DB00036,KEGG Compound,C03378
drug,DB00036,KEGG Drug,D00172
drug,DB00036,GenBank,M13232
drug,DB00036,PharmGKB,PA164748389
drug,DB00036,UniProtKB,P08709
drug,DB00036,Wikipedia,Factor_VII
drug,DB00036,RxCUI,253149
drug,DB00038,PubChem Substance,46506470
drug,DB00038,GenBank,M57765
drug,DB00038,PharmGKB,PA164747991
drug,DB00038,UniProtKB,P20809
drug,DB00038,Therapeutic Targets Database,DAP001287
drug,DB00038,Wikipedia,Oprelvekin
drug,DB00038,ChEMBL,CHEMBL1201573
drug,DB00038,RxCUI,1311380
drug,DB00039,Drugs Product Database (DPD),17147
drug,DB00039,PubChem Substance,46506691
drug,DB00039,GenBank,M60828
drug,DB00039,PharmGKB,PA164744014
drug,DB00039,UniProtKB,P21781
drug,DB00039,Therapeutic Targets Database,DAP001026
drug,DB00039,Wikipedia,Palifermin
drug,DB00039,ChEMBL,CHEMBL1201821
drug,DB00039,RxCUI,196319
drug,DB00040,Drugs Product Database (DPD),12072
drug,DB00040,Drugs Product Database (DPD),11363
drug,DB00040,PubChem Substance,46504732
drug,DB00040,KEGG Compound,C01501
drug,DB00040,KEGG Drug,D00116
drug,DB00040,GenBank,AF529185
drug,DB00040,PharmGKB,PA164779052
drug,DB00040,UniProtKB,Q8MJ25
drug,DB00040,Therapeutic Targets Database,DAP001037
drug,DB00040,Wikipedia,Glucagon
drug,DB00040,ChEMBL,CHEMBL266481
drug,DB00040,RxCUI,261716
drug,DB00041,Drugs Product Database (DPD),278
drug,DB00041,PubChem Substance,46508054
drug,DB00041,GenBank,M11144
drug,DB00041,PharmGKB,PA448081
drug,DB00041,UniProtKB,P60569
drug,DB00041,Therapeutic Targets Database,DAP001099
drug,DB00041,Wikipedia,Interleukin_2
drug,DB00041,ChEMBL,CHEMBL1201438
drug,DB00041,RxCUI,70223
drug,DB00042,Drugs Product Database (DPD),12854
drug,DB00042,PubChem Substance,46504750
drug,DB00042,KEGG Drug,D02735
drug,DB00042,GenBank,M81186
drug,DB00042,PharmGKB,PA164747061
drug,DB00042,UniProtKB,P10844
drug,DB00042,Therapeutic Targets Database,DAP001272
drug,DB00042,Wikipedia,Botulinum_toxin
drug,DB00042,ChEMBL,CHEMBL1201569
drug,DB00042,RxCUI,860178
drug,DB00043,Drugs Product Database (DPD),13365
drug,DB00043,PubChem Substance,46507002
drug,DB00043,GenBank,J00228
drug,DB00043,PharmGKB,PA164752253
drug,DB00043,UniProtKB,P01857
drug,DB00043,Therapeutic Targets Database,DAP000387
drug,DB00043,Wikipedia,Omalizumab
drug,DB00043,ChEMBL,CHEMBL1201589
drug,DB00043,RxCUI,302379
drug,DB00044,Drugs Product Database (DPD),15875
drug,DB00044,Drugs Product Database (DPD),7347
drug,DB00044,PubChem Substance,46507624
drug,DB00044,GenBank,X00264
drug,DB00044,PharmGKB,PA164750539
drug,DB00044,UniProtKB,P01229
drug,DB00044,Therapeutic Targets Database,DAP001103
drug,DB00044,Wikipedia,Luteinizing_hormone
drug,DB00044,ChEMBL,CHEMBL1201419
drug,DB00044,RxCUI,388084
drug,DB00045,PubChem Substance,46504444
drug,DB00045,GenBank,X16467
drug,DB00045,PharmGKB,PA164743058
drug,DB00045,UniProtKB,P14013
drug,DB00045,Therapeutic Targets Database,DAP001334
drug,DB00045,RxCUI,54214
drug,DB00046,Drugs Product Database (DPD),11115
drug,DB00046,Drugs Product Database (DPD),12028
drug,DB00046,PubChem Substance,46507498
drug,DB00046,KEGG Drug,D04477
drug,DB00046,PharmGKB,PA164747059
drug,DB00046,Therapeutic Targets Database,DNC000800
drug,DB00046,Wikipedia,Insulin_lispro
drug,DB00046,ChEMBL,CHEMBL1201538
drug,DB00046,RxCUI,314684
drug,DB00047,Drugs Product Database (DPD),12724
drug,DB00047,PubChem Substance,46507981
drug,DB00047,KEGG Drug,D03250
drug,DB00047,PharmGKB,PA449992
drug,DB00047,Therapeutic Targets Database,DAP001088
drug,DB00047,Wikipedia,Insulin_glargine
drug,DB00047,ChEMBL,CHEMBL1201497
drug,DB00047,RxCUI,274783
drug,DB00048,Drugs Product Database (DPD),21378
drug,DB00048,Drugs Product Database (DPD),2150
drug,DB00048,PubChem Substance,46506485
drug,DB00048,KEGG Compound,C00816
drug,DB00048,PharmGKB,PA449107
drug,DB00048,Therapeutic Targets Database,DAP000965
drug,DB00048,Wikipedia,Collagenase
drug,DB00048,RxCUI,58939
drug,DB00049,Drugs Product Database (DPD),13268
drug,DB00049,PubChem Substance,46504490
drug,DB00049,GenBank,X61766
drug,DB00049,PharmGKB,PA10176
drug,DB00049,UniProtKB,Q00511
drug,DB00049,Wikipedia,Rasburicase
drug,DB00049,ChEMBL,CHEMBL1201594
drug,DB00049,RxCUI,283821
drug,DB00050,Drugs Product Database (DPD),13224
drug,DB00050,ChEBI,59224
drug,DB00050,PubChem Compound,25074887
drug,DB00050,PubChem Substance,46505494
drug,DB00050,KEGG Drug,D07665
drug,DB00050,ChemSpider,10482082
drug,DB00050,BindingDB,50369965
drug,DB00050,PharmGKB,PA164764506
drug,DB00050,Therapeutic Targets Database,DAP000096
drug,DB00050,Wikipedia,Cetrorelix
drug,DB00050,ChEMBL,CHEMBL1200490
drug,DB00050,RxCUI,68147
drug,DB00051,Drugs Product Database (DPD),13356
drug,DB00051,PubChem Substance,46504982
drug,DB00051,KEGG Drug,D02597
drug,DB00051,GenBank,J00228
drug,DB00051,PharmGKB,PA10004
drug,DB00051,UniProtKB,P01857
drug,DB00051,Therapeutic Targets Database,DAP000392
drug,DB00051,Wikipedia,Adalimumab
drug,DB00051,ChEMBL,CHEMBL1201580
drug,DB00051,RxCUI,327361
drug,DB00052,Drugs Product Database (DPD),7364
drug,DB00052,PubChem Substance,46506010
drug,DB00052,GenBank,AF374232
drug,DB00052,PharmGKB,PA451446
drug,DB00052,UniProtKB,P58756
drug,DB00052,Therapeutic Targets Database,DAP001054
drug,DB00052,Wikipedia,Growth_hormone
drug,DB00052,ChEMBL,CHEMBL1201621
drug,DB00052,RxCUI,314845
drug,DB00053,Drugs Product Database (DPD),11365
drug,DB00053,PubChem Substance,46508744
drug,DB00053,KEGG Drug,D02810
drug,DB00053,GenBank,M16328
drug,DB00053,PharmGKB,PA164742934
drug,DB00053,UniProtKB,P04062
drug,DB00053,Wikipedia,Imiglucerase
drug,DB00053,ChEMBL,CHEMBL1201632
drug,DB00053,RxCUI,84959
drug,DB00054,Drugs Product Database (DPD),61
drug,DB00054,PubChem Substance,46505910
drug,DB00054,KEGG Drug,D02778
drug,DB00054,PharmGKB,PA448006
drug,DB00054,Therapeutic Targets Database,DAP000473
drug,DB00054,Wikipedia,Abciximab
drug,DB00054,ChEMBL,CHEMBL1201584
drug,DB00054,RxCUI,83929
drug,DB00055,Drugs Product Database (DPD),12084
drug,DB00055,PubChem Substance,46505655
drug,DB00055,GenBank,M11228
drug,DB00055,PharmGKB,PA131548935
drug,DB00055,UniProtKB,P04070
drug,DB00055,Therapeutic Targets Database,DAP000151
drug,DB00055,Wikipedia,Drotrecogin_alfa
drug,DB00055,RxCUI,352374
drug,DB00056,Drugs Product Database (DPD),23390
drug,DB00056,PubChem Substance,46505767
drug,DB00056,PharmGKB,PA164749431
drug,DB00056,Therapeutic Targets Database,DAP000390
drug,DB00056,Wikipedia,Gemtuzumab_ozogamicin
drug,DB00056,ChEMBL,CHEMBL1201506
drug,DB00056,RxCUI,1294580
drug,DB00057,PubChem Substance,46505873
drug,DB00057,PharmGKB,PA164745371
drug,DB00057,Therapeutic Targets Database,DAP001299
drug,DB00057,ChEMBL,CHEMBL1743091
drug,DB00058,Drugs Product Database (DPD),7762
drug,DB00058,PubChem Substance,46506364
drug,DB00058,GenBank,K01396
drug,DB00058,PharmGKB,PA10308
drug,DB00058,UniProtKB,P01009
drug,DB00058,Therapeutic Targets Database,DAP001102
drug,DB00058,Wikipedia,Alpha-1_antitrypsin
drug,DB00058,RxCUI,535
drug,DB00059,Drugs Product Database (DPD),11706
drug,DB00059,PubChem Substance,46505366
drug,DB00059,GenBank,U00096
drug,DB00059,PharmGKB,PA164760860
drug,DB00059,UniProtKB,P37595
drug,DB00059,Wikipedia,Pegaspargase
drug,DB00059,ChEMBL,CHEMBL2108546
drug,DB00059,RxCUI,34132
drug,DB00060,Drugs Product Database (DPD),11746
drug,DB00060,PubChem Substance,46504899
drug,DB00060,GenBank,V00534
drug,DB00060,PharmGKB,PA450037
drug,DB00060,UniProtKB,P01574
drug,DB00060,Therapeutic Targets Database,DAP001282
drug,DB00060,Wikipedia,Interferon_beta-1a
drug,DB00060,ChEMBL,CHEMBL1201562
drug,DB00060,RxCUI,75917
drug,DB00061,PubChem Substance,46508490
drug,DB00061,GenBank,AF280603
drug,DB00061,PharmGKB,PA450831
drug,DB00061,UniProtKB,P56658
drug,DB00061,Wikipedia,Adenosine_deaminase
drug,DB00061,ChEMBL,CHEMBL1201514
drug,DB00061,RxCUI,59768
drug,DB00062,Drugs Product Database (DPD),7867
drug,DB00062,Drugs Product Database (DPD),3275
drug,DB00062,PubChem Substance,46509098
drug,DB00062,GenBank,M12523
drug,DB00062,PharmGKB,PA164743293
drug,DB00062,UniProtKB,P02768
drug,DB00062,Wikipedia,Serum_albumin
drug,DB00062,ChEMBL,CHEMBL1201451
drug,DB00062,RxCUI,828529
drug,DB00063,Drugs Product Database (DPD),11891
drug,DB00063,PubChem Substance,46505459
drug,DB00063,PharmGKB,PA449483
drug,DB00063,Therapeutic Targets Database,DAP000285
drug,DB00063,Wikipedia,Eptifibatide
drug,DB00063,ChEMBL,CHEMBL1174
drug,DB00063,RxCUI,75635
drug,DB00065,Drugs Product Database (DPD),12094
drug,DB00065,PubChem Substance,46505602
drug,DB00065,GenBank,J00228
drug,DB00065,PharmGKB,PA452639
drug,DB00065,UniProtKB,P01857
drug,DB00065,Therapeutic Targets Database,DAP000107
drug,DB00065,Wikipedia,Infliximab
drug,DB00065,ChEMBL,CHEMBL1201581
drug,DB00065,RxCUI,1790539
drug,DB00066,Drugs Product Database (DPD),11463
drug,DB00066,Drugs Product Database (DPD),11457
drug,DB00066,Drugs Product Database (DPD),22944
drug,DB00066,Drugs Product Database (DPD),7649
drug,DB00066,PubChem Substance,46508818
drug,DB00066,GenBank,M16647
drug,DB00066,PharmGKB,PA449693
drug,DB00066,UniProtKB,P01225
drug,DB00066,Therapeutic Targets Database,DAP001028
drug,DB00066,Wikipedia,Follicle-stimulating_hormone
drug,DB00066,ChEMBL,CHEMBL1201692
drug,DB00066,RxCUI,227518
drug,DB00067,Drugs Product Database (DPD),7387
drug,DB00067,PubChem Substance,46505933
drug,DB00067,KEGG Compound,C00840
drug,DB00067,KEGG Drug,D00101
drug,DB00067,ChemSpider,10152658
drug,DB00067,PharmGKB,PA451858
drug,DB00067,Therapeutic Targets Database,DAP000018
drug,DB00067,Wikipedia,Vasopressin
drug,DB00067,ChEMBL,CHEMBL373742
drug,DB00067,RxCUI,11149
drug,DB00068,Drugs Product Database (DPD),172
drug,DB00068,PubChem Substance,46504458
drug,DB00068,KEGG Compound,C07901
drug,DB00068,KEGG Drug,D00746
drug,DB00068,GenBank,V00534
drug,DB00068,PharmGKB,PA450039
drug,DB00068,UniProtKB,P01574
drug,DB00068,Therapeutic Targets Database,DAP001283
drug,DB00068,Wikipedia,Interferon_beta-1b
drug,DB00068,ChEMBL,CHEMBL1201563
drug,DB00068,RxCUI,72258
drug,DB00069,Drugs Product Database (DPD),11856
drug,DB00069,PubChem Substance,46505985
drug,DB00069,GenBank,J00207
drug,DB00069,PharmGKB,PA164749376
drug,DB00069,Therapeutic Targets Database,DAP001284
drug,DB00069,Wikipedia,Interferon_alfacon-1
drug,DB00069,ChEMBL,CHEMBL1201557
drug,DB00069,RxCUI,59744
drug,DB00070,Drugs Product Database (DPD),6039
drug,DB00070,PubChem Substance,46505087
drug,DB00070,GenBank,L13781
drug,DB00070,PharmGKB,PA164745713
drug,DB00070,UniProtKB,P38567
drug,DB00070,Wikipedia,Hyaluronidase
drug,DB00070,ChEMBL,CHEMBL1201636
drug,DB00070,RxCUI,486164
drug,DB00071,Drugs Product Database (DPD),7326
drug,DB00071,PubChem Substance,46508925
drug,DB00071,GenBank,AY137503
drug,DB00071,PharmGKB,PA164781053
drug,DB00071,UniProtKB,Q8HXV2
drug,DB00071,Therapeutic Targets Database,DAP001089
drug,DB00071,Wikipedia,Insulin
drug,DB00071,RxCUI,221109
drug,DB00072,Drugs Product Database (DPD),11905
drug,DB00072,PubChem Substance,46507516
drug,DB00072,KEGG Drug,D03257
drug,DB00072,GenBank,J00228
drug,DB00072,PharmGKB,PA451743
drug,DB00072,UniProtKB,P01857
drug,DB00072,Therapeutic Targets Database,DAP000391
drug,DB00072,Wikipedia,Trastuzumab
drug,DB00072,ChEMBL,CHEMBL1201585
drug,DB00072,RxCUI,224905
drug,DB00073,Drugs Product Database (DPD),11982
drug,DB00073,PubChem Substance,46505820
drug,DB00073,GenBank,J00228
drug,DB00073,PharmGKB,PA451261
drug,DB00073,UniProtKB,P01857
drug,DB00073,Therapeutic Targets Database,DAP000382
drug,DB00073,Wikipedia,Rituximab
drug,DB00073,ChEMBL,CHEMBL1201576
drug,DB00073,RxCUI,121191
drug,DB00074,Drugs Product Database (DPD),12027
drug,DB00074,PubChem Substance,46505169
drug,DB00074,GenBank,J00228
drug,DB00074,PharmGKB,PA164747126
drug,DB00074,UniProtKB,P01857
drug,DB00074,Therapeutic Targets Database,DAP000388
drug,DB00074,Wikipedia,Basiliximab
drug,DB00074,ChEMBL,CHEMBL1201439
drug,DB00074,RxCUI,196102
drug,DB00075,Drugs Product Database (DPD),7680
drug,DB00075,PubChem Substance,46507837
drug,DB00075,KEGG Drug,D05092
drug,DB00075,PharmGKB,PA164743097
drug,DB00075,Therapeutic Targets Database,DAP001301
drug,DB00075,Wikipedia,Muromonab-CD3
drug,DB00075,ChEMBL,CHEMBL1201608
drug,DB00075,RxCUI,42405
drug,DB00076,Drugs Product Database (DPD),7676
drug,DB00076,PubChem Substance,46506432
drug,DB00076,PharmGKB,PA164769030
