interactant_id,polypeptide_id
BE0000910,P01023
BE0004494,P20645
BE0003528,P30874
BE0001075,P05164
BE0002638,P08684
BE0000530,P02768
BE0001032,P08183
BE0001069,Q92887
BE0000385,P48551
BE0000661,P17181
BE0003450,P01563
BE0002433,P05177
BE0000203,P30968
BE0000844,P30559
BE0000293,P30518
BE0000773,P47901
BE0000165,P37288
BE0002148,P48147
BE0010031,Q9UIQ6
BE0000751,P01178
BE0010032,Q15109
BE0000590,P13612
BE0000901,O75015
BE0000710,P12314
BE0001085,P05362
BE0000398,Q53I07
BE0003536,P33261
BE0003533,P05181
BE0000686,P13843
BE0000901,O75015
BE0002097,P08637
BE0000710,P12314
BE0002093,P00736
BE0002094,P02745
BE0002095,P02746
BE0002096,P02747
BE0010205,P03420
BE0002099,P31994
BE0000658,P01589
BE0000651,P14784
BE0000901,O75015
BE0002093,P00736
BE0002094,P02745
BE0002095,P02746
BE0002096,P02747
BE0002097,P08637
BE0000710,P12314
BE0002098,P12318
BE0002099,P31994
BE0002100,P31995
BE0000163,P15692
BE0002094,P02745
BE0002095,P02746
BE0002096,P02747
BE0002097,P08637
BE0000710,P12314
BE0002098,P12318
BE0002099,P31994
BE0002100,P31995
BE0000253,P80404
BE0000048,P00734
BE0000102,Q9BYV1
BE0000378,Q99259
BE0000323,P35520
BE0000392,Q16719
BE0000331,P34896
BE0000151,Q9Y697
BE0000529,P17174
BE0000424,P04181
BE0000404,P11926
BE0000727,Q8N5Z0
BE0000181,Q9NVS9
BE0000778,O95470
BE0000692,P17735
BE0000273,Q16773
BE0000007,P06737
BE0000660,O15270
BE0000079,Q9Y600
BE0000002,P19113
BE0000448,Q96A70
BE0000164,P20132
BE0000518,O75600
BE0000618,P23378
BE0000667,P24298
BE0000603,Q9Y617
BE0000409,P13196
BE0000316,P21549
BE0000278,Q96GD0
BE0000441,O15269
BE0000791,P32929
BE0000517,P54687
BE0000721,O15382
BE0002149,O94903
BE0000383,P00505
BE0002150,P11216
BE0000916,P11217
BE0002151,P20711
BE0002154,Q53ET4
BE0000602,Q05329
BE0002162,Q6YP21
BE0002163,Q6ZQY3
BE0004605,Q96I15
BE0004612,Q6WRI0
BE0002164,Q8IUZ5
BE0000292,P34897
BE0000898,P22557
BE0002166,Q8TD30
BE0002167,Q96EN8
BE0002168,Q96GA7
BE0000388,Q9GZT4
BE0002171,Q9HD40
BE0002172,Q9NUV7
BE0002173,Q9UGI5
BE0010222,P17174
BE0010222,P00505
BE0000734,Q99707
BE0000777,P22033
BE0000763,Q9UBK8
BE0000320,Q8IVH4
BE0002175,Q9Y4U1
BE0002176,P42898
BE0000456,Q96EY8
BE0002668,Q05599
BE0000340,Q9BXJ7
BE0000238,P20061
BE0000362,P20062
BE0004690,P27352
BE0000936,O60494
BE0000942,P98164
BE0000785,P33527
BE0000617,P11586
BE0000268,P13995
BE0000010,P48728
BE0000734,Q99707
BE0000822,O95954
BE0001240,P31939
BE0000331,P34896
BE0000292,P34897
BE0002176,P42898
BE0002154,Q53ET4
BE0001069,Q92887
BE0000002,P19113
BE0000740,P12081
BE0000285,Q99624
BE0000086,P42357
BE0003654,Q8TF71
BE0002089,P21964
BE0008997,Q8N1G2
BE0005015,Q9HBK9
BE0000372,Q14749
BE0000101,P17707
BE0000304,P31153
BE0000323,P35520
BE0000407,Q00266
BE0000300,P19623
BE0003533,P05181
BE0000253,P80404
BE0000535,P22748
BE0000449,O15427
BE0000178,P36021
BE0000102,Q9BYV1
BE0000386,O15375
BE0000046,P30613
BE0000174,O15403
BE0000440,O60669
BE0000098,P11177
BE0000088,P14618
BE0000195,O15374
BE0000361,O95907
BE0000669,P53985
BE0000698,P11498
BE0000440,O60669
BE0000669,P53985
BE0003654,Q8TF71
BE0003655,Q92959
BE0000449,O15427
BE0000614,P07101
BE0000692,P17735
BE0000789,Q9UHI5
BE0000038,Q9Y285
BE0000753,P00439
BE0000028,O95363
BE0000561,Q9NSD9
BE0003654,Q8TF71
BE0000544,P05166
BE0000159,P50747
BE0000072,Q9HCC0
BE0000702,O00763
BE0000445,Q96RQ3
BE0000698,P11498
BE0000492,P05165
BE0000626,Q13085
BE0001111,Q16678
BE0000094,Q9Y289
BE0004708,Q8N695
BE0000738,Q15822
BE0002341,P36544
BE0000494,Q9Y5K3
BE0002190,Q9Y6K0
BE0000237,Q9Y259
BE0000519,P28329
BE0000784,P35790
BE0000636,Q8NE62
BE0000426,P22303
BE0000615,P49585
BE0002181,Q13393
BE0002179,O14939
BE0002180,P06276
BE0002186,Q8TCT1
BE0003647,O15244
BE0003648,O15245
BE0003650,O75751
BE0000106,O76082
BE0000757,Q9H015
BE0001059,Q8WWI5
BE0002182,Q53GD3
BE0002183,Q8IWA5
BE0002184,Q8N4M1
BE0000696,Q9GZV3
BE0000212,P30825
BE0000052,O43246
BE0000136,Q8WY07
BE0000562,P52569
BE0000198,Q15046
BE0003654,Q8TF71
BE0000757,Q9H015
BE0000136,Q8WY07
BE0001260,P04183
BE0000448,Q96A70
BE0000520,P04424
BE0000005,P35228
BE0000212,P30825
BE0000758,P78540
BE0000052,O43246
BE0000671,P00966
BE0000263,P29474
BE0000106,O76082
BE0003654,Q8TF71
BE0000757,Q9H015
BE0000168,Q9UHI7
BE0009869,Q9UGH3
BE0001361,Q54873
BE0001225,P24300
BE0002192,O00469
BE0002117,O14832
BE0002195,O60568
BE0002197,O75936
BE0000138,P09172
BE0002200,P19021
BE0002202,Q32P28
BE0002206,Q8IVL5
BE0002208,Q8IVL6
BE0000060,P13674
BE0002210,Q8N543
BE0002203,Q6N063
BE0002205,Q6NS38
BE0002213,Q96Q83
BE0002215,Q9BY66
BE0000087,Q02809
BE0002221,Q9NVH6
BE0002223,Q9NXG6
