salt_id,drugbank_id,name,unii,cas_number,inchikey,average_mass,monoisotopic_mass
DBSALT001023,DB01625,Isopropamide iodide,E0KNA372SZ,71-81-8,BFSMWENDZZIWPW-UHFFFAOYSA-N,480.434,480.16376
DBSALT000304,DB01626,Pargyline hydrochloride,W70V6I2OMY,306-07-0,BCXCABRDBBWWGY-UHFFFAOYSA-N,195.689,195.08147716
DBSALT000109,DB01627,Lincomycin hydrochloride,GCW8Y9936L,859-18-7,POUMFISTNHIPTI-BOMBIWCESA-N,443.0,442.1904357
DBSALT001614,DB01627,Lincomycin hydrochloride monohydrate,M6T05Z2B68,7179-49-9,LFZGYTBWUHCAKF-DCNJEFSFSA-N,461.01,460.2010004
DBSALT002328,DB01628,Etoricoxib hydrochloride,138Y28RY5E,202409-40-3,NNGHGPAKTWAHHB-UHFFFAOYSA-N,395.3,394.0309543
DBSALT003159,DB01698,Rutoside trihydrate,RF4N03853G,250249-75-3,NLLBWFFSGHKUSY-JPRRWYCFSA-N,700.596,700.206208308
DBSALT001769,DB01718,Cetrimonium bromide,L64N7M9BWR,57-09-0,LZZYPRNAOMGNLH-UHFFFAOYSA-M,364.456,363.250063
DBSALT001772,DB01718,Cetrimonium carboxydecyl PEG-8 dimethicone,0T3143V100,,,,
DBSALT001770,DB01718,Cetrimonium chloride,UC9PE95IBP,112-02-7,WOWHHFRSBJGXCM-UHFFFAOYSA-M,320.0,319.3005781
DBSALT001771,DB01718,Cetrimonium hydroxide,8Q7D6895LV,505-86-2,WJLUBOLDZCQZEV-UHFFFAOYSA-M,301.559,301.334465009
DBSALT002330,DB01764,Dalfopristin mesylate,R5U9EZY06G,,ZUBXFMSQBHKVNC-ODOOVVHSSA-N,786.95,786.317965543
DBSALT000034,DB01783,Calcium pantothenate,568ET80C3D,137-08-6,FAPWYRCQGJNNSJ-UBKPKTQASA-L,476.536,476.1682861
DBSALT003045,DB01783,Sodium pantothenate,OES0R93F0C,867-81-2,GQTHJBOWLPZUOI-FJXQXJEOSA-M,241.219,241.0926169
DBSALT003502,DB01839,Propylene glycol diacetate,5Z492UNF9O,623-84-7,MLHOXUWWKVQEJB-UHFFFAOYSA-N,160.169,160.073558866
DBSALT001507,DB01914,D-glucose monohydrate,LX22YL083G,77938-63-7,SPFMQWBKVUQXJV-BTVCFUMJSA-N,198.171,198.073952791
DBSALT001558,DB01942,Calcium formate,NP3JD65NPY,544-17-2,CBOCVOKPQGJKKJ-UHFFFAOYSA-L,130.112,129.9578994
DBSALT002497,DB01987,Cocarboxylase chloride,XMK8K8EVIU,154-87-0,YXVCLPJQTZXJLH-UHFFFAOYSA-N,460.767,460.013820403
DBSALT003002,DB01987,Cocarboxylase tetrahydrate,749XRF8JS6,68684-55-9,KLOLNRGPRQYTIW-UHFFFAOYSA-N,496.36,496.079402843
DBSALT001386,DB02300,Calcipotriol hydrate,S7499TYY6G,147657-22-5,XBKHACNRWFKJNC-MANNPBRJSA-N,430.629,430.308309832
DBSALT002730,DB02362,Aminobenzoate potassium,41KZS5432U,138-84-1,MZKKJVZIFIQOPP-UHFFFAOYSA-M,175.228,175.00355993
DBSALT002731,DB02362,Aminobenzoate sodium,75UI7QUZ5J,555-06-6,XETSAYZRDCRPJY-UHFFFAOYSA-M,159.12,159.02962272
DBSALT002209,DB02530,Gamma-Aminobutyric Acid Hydrochloride,0S3LEB8Q58,5959-35-3,QPGLUEKHBNOAHG-UHFFFAOYSA-N,139.58,139.0400063
DBSALT002332,DB02638,Terlipressin acetate,4U092XZF0K,,MLECZWUGJYWVAV-NSECCGHPSA-N,1437.56,1436.591180254
