ref_pk,drugbank_id,interactant_id
16,DB00007,BE0000203
92,DB00007,BE0000203
93,DB00007,BE0000203
94,DB00007,BE0000203
95,DB00007,BE0000203
96,DB00007,BE0000203
97,DB00007,BE0000203
16,DB00007,BE0010526
106,DB00008,
107,DB00008,
108,DB00008,
109,DB00008,BE0000385
110,DB00008,BE0000385
111,DB00008,BE0000385
17,DB00008,BE0000385
109,DB00008,BE0000661
110,DB00008,BE0000661
111,DB00008,BE0000661
17,DB00008,BE0000661
16,DB00008,BE0003450
112,DB00008,BE0002433
113,DB00008,BE0002433
114,DB00009,
115,DB00009,
116,DB00009,
117,DB00009,
118,DB00009,
119,DB00009,
120,DB00009,
121,DB00009,
122,DB00009,BE0000211
123,DB00009,BE0000211
114,DB00009,BE0000211
119,DB00009,BE0000211
122,DB00009,BE0000538
123,DB00009,BE0000538
114,DB00009,BE0000538
119,DB00009,BE0000538
122,DB00009,BE0002092
123,DB00009,BE0002092
114,DB00009,BE0002092
119,DB00009,BE0002092
123,DB00009,BE0000240
124,DB00010,BE0000625
17,DB00010,BE0000625
125,DB00011,BE0000661
111,DB00011,BE0000661
17,DB00011,BE0000661
125,DB00011,BE0000385
111,DB00011,BE0000385
17,DB00011,BE0000385
126,DB00011,BE0002433
127,DB00012,BE0000654
128,DB00012,BE0000654
17,DB00012,BE0000654
129,DB00013,
130,DB00013,
131,DB00013,
132,DB00013,
133,DB00013,BE0000211
134,DB00013,BE0000211
135,DB00013,BE0000211
136,DB00013,BE0000211
137,DB00013,BE0000211
17,DB00013,BE0000211
131,DB00013,BE0000211
138,DB00013,BE0000717
139,DB00013,BE0000717
140,DB00013,BE0000717
141,DB00013,BE0000717
142,DB00013,BE0000717
143,DB00013,BE0000717
144,DB00013,BE0000240
145,DB00013,BE0000240
146,DB00013,BE0000240
137,DB00013,BE0000240
147,DB00013,BE0000240
148,DB00013,BE0000969
149,DB00013,BE0000969
150,DB00013,BE0000969
151,DB00013,BE0000969
152,DB00013,BE0000969
16,DB00013,BE0000895
153,DB00013,BE0002112
154,DB00013,BE0002112
155,DB00013,BE0002112
156,DB00013,BE0000942
157,DB00013,BE0000942
158,DB00013,BE0000942
159,DB00013,BE0001656
160,DB00013,BE0001656
161,DB00013,BE0002113
162,DB00013,BE0001198
163,DB00014,
164,DB00014,BE0000134
164,DB00014,BE0000203
16,DB00014,BE0010526
123,DB00015,BE0000211
122,DB00015,BE0000211
165,DB00015,BE0000211
17,DB00015,BE0000211
122,DB00015,BE0000538
165,DB00015,BE0000538
123,DB00015,BE0000538
123,DB00015,BE0000240
166,DB00016,
167,DB00016,
168,DB00016,
169,DB00016,
170,DB00016,
171,DB00016,
172,DB00016,
173,DB00016,
127,DB00016,BE0000654
128,DB00016,BE0000654
17,DB00016,BE0000654
174,DB00017,BE0000431
175,DB00017,BE0000431
