reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
1,DB00001,1,DB00001,Lepirudin,DBMET03462,M1 (1-64),
2,DB00001,2,DBMET03462,M1 (1-64),DBMET03463,M2 (1-63),
3,DB00001,3,DBMET03463,M2 (1-63),DBMET03464,M3 (1-62),
4,DB00001,4,DBMET03464,M3 (1-62),DBMET03465,M4 (1-61),
5,DB00047,1,DB00047,Insulin glargine,DBMET00786,A21-Gly-des-B30-Thr-insulin,
6,DB00047,1,DB00047,Insulin glargine,DBMET00787,A21-Gly-insulin,
7,DB00091,1,DB00091,Cyclosporine,DBMET02955,Cyclosporine AM-4N,BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
8,DB00091,1,DB00091,Cyclosporine,DBMET02217,Cyclosporine M-1 (AM-9),BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
9,DB00091,1,DB00091,Cyclosporine,DBMET00359,Cyclosporine M-17 (AM-1),BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
10,DB00115,1,DB00115,Cyanocobalamin,DB03614,Mecobalamin,
11,DB00118,1,DB00118,Ademetionine,DBMET00486,Cystathionine,
12,DB00118,1,DB00118,Ademetionine,DBMET00503,Cysteine,
13,DB00118,1,DB00118,Ademetionine,DBMET00506,Methionine,
14,DB00118,1,DB00118,Ademetionine,DBMET00508,Homocysteine,
15,DB00118,1,DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine,
16,DB00121,1,DB00121,Biotin,DBMET03072,Biotin Holocarboxylase Metabolite,
17,DB00121,2,DBMET03072,Biotin Holocarboxylase Metabolite,DBMET03073,Biocytin,
18,DB00121,3,DBMET03073,Biocytin,DB00121,Biotin,
19,DB00126,1,DB00126,Ascorbic acid,DBMET00799,ascorbic acid-2-sulfate,
20,DB00126,1,DB00126,Ascorbic acid,DBMET03074,Dehydroascorbate,
21,DB00126,2,DBMET03074,Dehydroascorbate,DBMET03075,"2,3-dikeogulonic acid",
22,DB00126,3,DBMET03075,"2,3-dikeogulonic acid",DBMET00552,Oxalic acid,
23,DB00126,3,DBMET03075,"2,3-dikeogulonic acid",DBMET03076,Threosone,
24,DB00126,3,DBMET03075,"2,3-dikeogulonic acid",DBMET03077,Erythrulose,
25,DB00129,1,DB00129,Ornithine,DBMET00494,Proline,
26,DB00129,1,DB00129,Ornithine,DBMET00502,L-Arginine,
27,DB00130,1,DB00130,L-Glutamine,DBMET02102,Glutamate,"BE0002240|Glutamine synthetase|P15104||BE0000003|Glutaminase liver isoform, mitochondrial|Q9UI32||BE0000825|Glutaminase kidney isoform, mitochondrial|O94925"
28,DB00130,2,DBMET02102,Glutamate,DBMET03078,α-ketoglutarate,
29,DB00130,2,DBMET02102,Glutamate,DBMET03079,1-pyrroline-5-carboxylic acid,
30,DB00130,3,DBMET03079,1-pyrroline-5-carboxylic acid,DBMET00494,Proline,
31,DB00130,3,DBMET03079,1-pyrroline-5-carboxylic acid,DB00129,Ornithine,
32,DB00136,1,DB00136,Calcitriol,DBMET00575,Calcitroic acid,
33,DB00145,1,DB00145,Glycine,DB01828,Methylamine,"BE0000618|Glycine dehydrogenase (decarboxylating), mitochondrial|P23378||BE0002302|Glycine cleavage system H protein, mitochondrial|P23434"
34,DB00145,2,DB01828,Methylamine,DBMET03082,Dihydrolipoamide,"BE0000010|Aminomethyltransferase, mitochondrial|P48728||BE0002302|Glycine cleavage system H protein, mitochondrial|P23434"
35,DB00145,3,DBMET03082,Dihydrolipoamide,DB00166,Lipoic acid,"BE0000737|Dihydrolipoyl dehydrogenase, mitochondrial|P09622||BE0002302|Glycine cleavage system H protein, mitochondrial|P23434"
36,DB00153,1,DB00153,Ergocalciferol,DBMET02434,25-hydroxyvitamin D,BE0000524|Vitamin D 25-hydroxylase|Q6VVX0
37,DB00153,1,DB00153,Ergocalciferol,DBMET02436,"24(R),25dihydroxyvitamin D","BE0000443|25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial|O15528||BE0002250|1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial|Q07973"
38,DB00153,1,DB00153,Ergocalciferol,DBMET02437,beta-ergocalciferol,BE0009671|Ribulose-phosphate 3-epimerase|Q96AT9
39,DB00153,1,DB00153,Ergocalciferol,DBMET02438,20-hydroxyvitamin D,"BE0003537|Cholesterol side-chain cleavage enzyme, mitochondrial|P05108"
40,DB00153,2,DBMET02434,25-hydroxyvitamin D,DBMET02435,Calcitrol,"BE0000443|25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial|O15528||BE0002250|1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial|Q07973"
41,DB00158,1,DB00158,Folic acid,DBMET02314,Dihydrofolate (DHF),BE0000330|Dihydrofolate reductase|P00374
42,DB00158,1,DB00158,Folic acid,DB00116,Tetrahydrofolic acid,BE0000330|Dihydrofolate reductase|P00374
43,DB00158,2,DB00116,Tetrahydrofolic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)","BE0000268|Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial|P13995"
44,DB00158,3,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",DBMET00528,5-Methyltetrahydrofolate,BE0002176|Methylenetetrahydrofolate reductase (NADPH)|P42898
45,DB00158,4,DBMET00528,5-Methyltetrahydrofolate,DBMET00506,Methionine,BE0000734|Methionine synthase|Q99707
46,DB00162,1,DB00162,Vitamin A,DBMET01736,All-trans-retinal,BE0003543|Cytochrome P450 1A1|P04798||BE0002433|Cytochrome P450 1A2|P05177||BE0002638|Cytochrome P450 3A4|P08684||BE0001111|Cytochrome P450 1B1|Q16678
47,DB00163,1,DB00163,Vitamin E,DBMET02310,13'-hydroxy-alpha-tocopherol,BE0002638|Cytochrome P450 3A4|P08684||BE0004727|Cytochrome P450 4F2|P78329
48,DB00163,2,DBMET02310,13'-hydroxy-alpha-tocopherol,DBMET02311,13'-carboxy-alpha-tocopherol,
49,DB00163,3,DBMET02311,13'-carboxy-alpha-tocopherol,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,
50,DB00163,4,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,
51,DB00163,5,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,
52,DB00163,6,DBMET02322,alpha-carboxydimethylhexylhydroxychromanol,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,
53,DB00163,7,DBMET02323,alpha-caboxymethylbutylhydroxychromanol,DBMET02324,alpha-carboxyethylhydroxychromanol,
54,DB00169,1,DB00169,Cholecalciferol,DBMET00609,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",
55,DB00169,1,DB00169,Cholecalciferol,DB00146,Calcifediol,BE0000524|Vitamin D 25-hydroxylase|Q6VVX0
56,DB00169,2,DB00146,Calcifediol,DB00136,Calcitriol,"BE0000443|25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial|O15528"
57,DB00175,1,DB00175,Pravastatin,DBMET02469,3-alpha-isopravastatin,
58,DB00175,1,DB00175,Pravastatin,DBMET02472,6-epi-pravastatin,
59,DB00175,1,DB00175,Pravastatin,DBMET02473,Triol pravastatin,
60,DB00175,1,DB00175,Pravastatin,DBMET02475,pravastatin glucuronide,
61,DB00175,1,DB00175,Pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,
62,DB00175,1,DB00175,Pravastatin,DBMET02478,3'(S)-hydroxy-pravastatin,
63,DB00175,1,DB00175,Pravastatin,DBMET02479,Desacylpravastatin,
64,DB00175,2,DBMET02469,3-alpha-isopravastatin,DBMET02470,"5,6-epoxy-3-alpha-isopravastatin",
65,DB00175,2,DBMET02469,3-alpha-isopravastatin,DBMET02471,7-hydroxy-3-alpha-isopravastatin,
66,DB00175,2,DBMET02473,Triol pravastatin,DBMET02474,"3-keto-5,6-diol pravastatin",
67,DB00175,2,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,DBMET02477,3'(S)-hydroxy-pravastatin-tetranor glucuronide,
68,DB00175,2,DBMET02478,3'(S)-hydroxy-pravastatin,DBMET02476,3'(S)-hydroxy-pravastatin-tetranor,
69,DB00176,1,DB00176,Fluvoxamine,DBMET00250,fluvoxamino acid,BE0002433|Cytochrome P450 1A2|P05177
70,DB00176,1,DB00176,Fluvoxamine,DBMET01673,Fluvoxamino alcohol,BE0002363|Cytochrome P450 2D6|P10635||BE0002433|Cytochrome P450 1A2|P05177
71,DB00177,1,DB00177,Valsartan,DBMET00011,Valeryl-4-hydroxyvalsartan,BE0002793|Cytochrome P450 2C9|P11712
72,DB00178,1,DB00178,Ramipril,DBMET00841,Diketopiperazine acid,
73,DB00178,1,DB00178,Ramipril,DBMET00842,Diketopiperazine ester,
74,DB00178,1,DB00178,Ramipril,DBMET00995,Ramiprilat,BE0009561|Liver esterases|
75,DB00181,1,DB00181,Baclofen,DBMET02215,β-(p-chlorophenyl)-4-hydroxybutyric acid,
76,DB00182,1,DB00182,Amphetamine,DBMET00733,4-hydroxyamphetamine,BE0002363|Cytochrome P450 2D6|P10635
77,DB00182,1,DB00182,Amphetamine,DBMET00540,Norephedrine,BE0002363|Cytochrome P450 2D6|P10635
78,DB00182,1,DB00182,Amphetamine,DBMET02222,Phenylacetone,
79,DB00182,2,DBMET00733,4-hydroxyamphetamine,DBMET01018,4-Hydroxynorephedrine,
80,DB00182,2,DBMET02222,Phenylacetone,DBMET01437,Benzoic acid,
81,DB00182,3,DBMET01437,Benzoic acid,DBMET00507,Hippuric acid,
82,DB00184,1,DB00184,Nicotine,DBMET00515,N-Methylnicotinium,
83,DB00184,1,DB00184,Nicotine,DBMET00516,Nicotine imine,BE0003336|Cytochrome P450 2A6|P11509||BE0003549|Cytochrome P450 2B6|P20813
84,DB00184,1,DB00184,Nicotine,DBMET00519,Cotinine,
85,DB00184,1,DB00184,Nicotine,DBMET00520,Nornicotine,
86,DB00184,1,DB00184,Nicotine,DBMET00524,Nicotine glucuronide,BE0003544|UDP-glucuronosyltransferase 1A4|P22310||BE0003538|UDP-glucuronosyltransferase 1A9|O60656
87,DB00184,1,DB00184,Nicotine,DBMET00526,Norcotinine,
88,DB00184,1,DB00184,Nicotine,DBMET00533,Nicotine-1'-N-oxide,BE0003606|Flavin-containing monooxygenase 3|P31513
89,DB00184,1,DB00184,Nicotine,DBMET00613,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,
90,DB00184,1,DB00184,Nicotine,DBMET00643,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,
91,DB00184,1,DB00184,Nicotine,DBMET01717,"(S)-Nicotine delta-1',5'-iminium ion",BE0003336|Cytochrome P450 2A6|P11509||BE0003549|Cytochrome P450 2B6|P20813||BE0002638|Cytochrome P450 3A4|P08684
92,DB00184,1,DB00184,Nicotine,DBMET01718,2'-Hydroxynicotine,BE0003336|Cytochrome P450 2A6|P11509
93,DB00184,2,DBMET00516,Nicotine imine,DBMET00519,Cotinine,BE0003539|Aldehyde oxidase|Q06278
94,DB00184,2,DBMET00519,Cotinine,DBMET00529,Cotinine N-oxide,
95,DB00184,2,DBMET00519,Cotinine,DBMET00527,3'-Hydroxycotinine,BE0003336|Cytochrome P450 2A6|P11509
96,DB00184,2,DBMET00519,Cotinine,DBMET00520,Nornicotine,
97,DB00184,2,DBMET00519,Cotinine,DBMET00533,Nicotine-1'-N-oxide,BE0003606|Flavin-containing monooxygenase 3|P31513
98,DB00184,2,DBMET00519,Cotinine,DBMET00517,Cotinine glucuronide,BE0003544|UDP-glucuronosyltransferase 1A4|P22310||BE0003538|UDP-glucuronosyltransferase 1A9|O60656
99,DB00185,1,DB00185,Cevimeline,DBMET00430,cevimeline trans-sulfoxide,BE0002638|Cytochrome P450 3A4|P08684||BE0002363|Cytochrome P450 2D6|P10635
100,DB00185,1,DB00185,Cevimeline,DBMET00431,cevimeline cis-sulfoxide,BE0002638|Cytochrome P450 3A4|P08684
101,DB00185,1,DB00185,Cevimeline,DBMET00432,cevimeline cis-sulfoxidation,BE0002363|Cytochrome P450 2D6|P10635
102,DB00185,1,DB00185,Cevimeline,DBMET00433,cevimeline N-oxide,BE0003609|Flavin-containing monooxygenase 1|Q01740
103,DB00185,1,DB00185,Cevimeline,DBMET00488,Glucuronic acid,
104,DB00186,1,DB00186,Lorazepam,DBMET00648,Lorazepam glucuronide,
105,DB00187,1,DB00187,Esmolol,DBMET00536,Methanol,
106,DB00188,1,DB00188,Bortezomib,DBMET01061,Bortezomib metabolite M1,BE0002793|Cytochrome P450 2C9|P11712||BE0003536|Cytochrome P450 2C19|P33261||BE0002363|Cytochrome P450 2D6|P10635||BE0002638|Cytochrome P450 3A4|P08684
107,DB00188,1,DB00188,Bortezomib,DBMET01062,Bortezomib metabolite M2,BE0002793|Cytochrome P450 2C9|P11712||BE0003536|Cytochrome P450 2C19|P33261||BE0002363|Cytochrome P450 2D6|P10635||BE0002638|Cytochrome P450 3A4|P08684
108,DB00188,1,DB00188,Bortezomib,DBMET01081,Bortezomib metabolite M34,
109,DB00188,1,DB00188,Bortezomib,DBMET01122,Bortezomib metabolite M23 or M24 (1),BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261||BE0002433|Cytochrome P450 1A2|P05177||BE0002363|Cytochrome P450 2D6|P10635
110,DB00188,1,DB00188,Bortezomib,DBMET01124,Bortezomib metabolite M23 or M24 (2),BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261||BE0002433|Cytochrome P450 1A2|P05177||BE0002363|Cytochrome P450 2D6|P10635
111,DB00188,2,DBMET01061,Bortezomib metabolite M1,DBMET01063,Bortezomib metabolite M3,
112,DB00188,2,DBMET01062,Bortezomib metabolite M2,DBMET01063,Bortezomib metabolite M3,
113,DB00188,2,DBMET01061,Bortezomib metabolite M1,DBMET01065,Bortezomib metabolite M5,
114,DB00188,2,DBMET01062,Bortezomib metabolite M2,DBMET01066,Bortezomib metabolite M6,
115,DB00188,2,DBMET01062,Bortezomib metabolite M2,DBMET01067,Bortezomib metabolite M8,BE0002638|Cytochrome P450 3A4|P08684
116,DB00188,2,DBMET01061,Bortezomib metabolite M1,DBMET01082,Bortezomib metabolite M25,
117,DB00188,2,DBMET01061,Bortezomib metabolite M1,DBMET01084,Bortezomib metabolite M26,
118,DB00188,2,DBMET01062,Bortezomib metabolite M2,DBMET01085,Bortezomib metabolite M27,
119,DB00188,2,DBMET01062,Bortezomib metabolite M2,DBMET01086,Bortezomib metabolite M28,
120,DB00188,3,DBMET01063,Bortezomib metabolite M3,DBMET01064,Bortezomib metabolite M4,
121,DB00188,3,DBMET01067,Bortezomib metabolite M8,DBMET01068,Bortezomib metabolite M33,
122,DB00190,1,DB00190,Carbidopa,DBMET00637,"3,4-Dihydroxyphenylacetone",
123,DB00190,1,DB00190,Carbidopa,DBMET00698,3-(3-hydroxyphenyl)-2-methyllactic acid,
124,DB00190,1,DB00190,Carbidopa,DBMET00699,3-(3-hydroxyphenyl)-2-methylpropionic acid,
125,DB00190,1,DB00190,Carbidopa,DBMET00700,"3-(3,4-dihydroxyphenyl)-2-methylpropionic acid",
126,DB00190,1,DB00190,Carbidopa,DBMET00701,3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid,
127,DB00190,1,DB00190,Carbidopa,DBMET00702,3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid,
128,DB00191,1,DB00191,Phentermine,DBMET02227,p-hydroxyphentermine,
129,DB00191,1,DB00191,Phentermine,DBMET02228,N-hydroxyphentermine,
130,DB00191,2,DBMET02228,N-hydroxyphentermine,DBMET02229,Nitrophentermine,
131,DB00193,1,DB00193,Tramadol,DBMET00324,O-Desmethyltramadol,BE0002363|Cytochrome P450 2D6|P10635
132,DB00193,1,DB00193,Tramadol,DBMET00343,N-Desmethyltramadol,BE0002638|Cytochrome P450 3A4|P08684||BE0003549|Cytochrome P450 2B6|P20813
133,DB00193,2,DBMET00324,O-Desmethyltramadol,DBMET00966,O-Desmethyl-tramado glucuronide,BE0003679|UDP-glucuronosyltransferase 2B7|P16662||BE0003682|UDP-glucuronosyltransferase 1A8|Q9HAW9
134,DB00193,2,DBMET00324,O-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",BE0002363|Cytochrome P450 2D6|P10635
135,DB00193,2,DBMET00343,N-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",BE0002363|Cytochrome P450 2D6|P10635
136,DB00193,2,DBMET00343,N-Desmethyltramadol,DBMET00954,"N,N-didesmethyltramadol",BE0002638|Cytochrome P450 3A4|P08684||BE0003549|Cytochrome P450 2B6|P20813
137,DB00193,3,DBMET00957,"N,O-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",
138,DB00193,3,DBMET00954,"N,N-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",
139,DB00196,1,DB00196,Fluconazole,DBMET03500,"O-Glucuronidated metabolite, Fluconazole",BE0003679|UDP-glucuronosyltransferase 2B7|P16662
140,DB00196,1,DB00196,Fluconazole,DBMET02520,Fluconazole N-oxide,BE0002638|Cytochrome P450 3A4|P08684
141,DB00198,1,DB00198,Oseltamivir,DBMET02218,Oseltamivir carboxylate,BE0002705|Liver carboxylesterase 1|P23141
142,DB00199,1,DB00199,Erythromycin,DBMET01656,N-Desmethylerythromycin,BE0002638|Cytochrome P450 3A4|P08684
143,DB00201,1,DB00201,Caffeine,DB01412,Theobromine,BE0002433|Cytochrome P450 1A2|P05177||BE0003533|Cytochrome P450 2E1|P05181
144,DB00201,1,DB00201,Caffeine,DB00277,Theophylline,BE0002433|Cytochrome P450 1A2|P05177||BE0003533|Cytochrome P450 2E1|P05181||BE0002887|Cytochrome P450 2C8|P10632||BE0002793|Cytochrome P450 2C9|P11712||BE0002638|Cytochrome P450 3A4|P08684
145,DB00201,1,DB00201,Caffeine,DBMET00222,"1,3,7-Trimethyluric acid",BE0002887|Cytochrome P450 2C8|P10632||BE0002793|Cytochrome P450 2C9|P11712||BE0002638|Cytochrome P450 3A4|P08684||BE0002433|Cytochrome P450 1A2|P05177||BE0003533|Cytochrome P450 2E1|P05181
146,DB00201,1,DB00201,Caffeine,DBMET00223,"1,7-dimethylxanthine",BE0002433|Cytochrome P450 1A2|P05177
147,DB00201,2,DBMET00223,"1,7-dimethylxanthine",DBMET00611,"1,7-Dimethyluric acid",BE0002433|Cytochrome P450 1A2|P05177||BE0003336|Cytochrome P450 2A6|P11509
148,DB00201,2,DB00277,Theophylline,DBMET00271,1-Methylxanthine,BE0002433|Cytochrome P450 1A2|P05177
149,DB00201,2,DBMET00223,"1,7-dimethylxanthine",DBMET00612,5-Acetylamino-6-formylamino-3-methyluracil,BE0003607|Arylamine N-acetyltransferase 2|P11245
150,DB00201,2,DBMET00223,"1,7-dimethylxanthine",DBMET00271,1-Methylxanthine,BE0002204|Xanthine dehydrogenase/oxidase|P47989
151,DB00201,3,DBMET00271,1-Methylxanthine,DBMET00560,1-Methyluric acid,BE0002204|Xanthine dehydrogenase/oxidase|P47989
152,DB00202,1,DB00202,Succinylcholine,DBMET03338,Succinylmonocholine,BE0002180|Cholinesterase|P06276
153,DB00202,2,DBMET03338,Succinylmonocholine,DBMET01477,Succinic Acid,BE0002180|Cholinesterase|P06276
154,DB00202,2,DBMET03338,Succinylmonocholine,DB00122,Choline,BE0002180|Cholinesterase|P06276
155,DB00203,1,DB00203,Sildenafil,DBMET00182,"N-Desmethyl sildenafil (UK-103,320)",BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261||BE0002363|Cytochrome P450 2D6|P10635||BE0002793|Cytochrome P450 2C9|P11712
156,DB00203,1,DB00203,Sildenafil,DBMET01744,N-Desmethyl sildenafil,BE0002638|Cytochrome P450 3A4|P08684||BE0002793|Cytochrome P450 2C9|P11712||BE0003536|Cytochrome P450 2C19|P33261||BE0002363|Cytochrome P450 2D6|P10635
157,DB00208,1,DB00208,Ticlopidine,DBMET00091,2-Chloroticlopidine,BE0001075|Myeloperoxidase|P05164
158,DB00208,1,DB00208,Ticlopidine,DBMET00092,2-Oxoticlopidine,BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261
159,DB00208,1,DB00208,Ticlopidine,DBMET00093,Thienodihydropyridinium,BE0001075|Myeloperoxidase|P05164||BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261
160,DB00208,1,DB00208,Ticlopidine,DBMET00094,Ticlopidine S-oxide,BE0003536|Cytochrome P450 2C19|P33261||BE0002363|Cytochrome P450 2D6|P10635
161,DB00208,1,DB00208,Ticlopidine,DBMET00095,Dehydrogenated ticlopidine,BE0001075|Myeloperoxidase|P05164
162,DB00208,1,DB00208,Ticlopidine,DBMET00096,Ticlopidine N-oxide,BE0001075|Myeloperoxidase|P05164
163,DB00208,1,DB00208,Ticlopidine,DBMET00097,di-Hydroxyticlopidine,BE0003536|Cytochrome P450 2C19|P33261
164,DB00208,1,DB00208,Ticlopidine,DBMET00618,7-Hydroxyticlopidine,
165,DB00208,2,DBMET00092,2-Oxoticlopidine,DBMET01202,Active metabolite of Ticlopidine,
166,DB00208,2,DBMET00094,Ticlopidine S-oxide,DBMET01207,Ticlopidine S-oxide dimer,
167,DB00208,2,DBMET00093,Thienodihydropyridinium,DBMET01208,Thienopyridinium,BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261||BE0001075|Myeloperoxidase|P05164
168,DB00208,2,DBMET00093,Thienodihydropyridinium,DBMET01209,Ticlopidine lactam analog (M8),BE0002638|Cytochrome P450 3A4|P08684
169,DB00211,1,DB00211,Midodrine,DBMET00829,desglymidodrine,
170,DB00213,1,DB00213,Pantoprazole,DBMET02219,desmethylpantoprazole,BE0003536|Cytochrome P450 2C19|P33261
171,DB00213,1,DB00213,Pantoprazole,DBMET02221,Pantoprazole sulfate,BE0009567|Sulfotransferase|P50225
172,DB00213,1,DB00213,Pantoprazole,DBMET02220,Pantoprazole sulfone,BE0002638|Cytochrome P450 3A4|P08684
173,DB00214,1,DB00214,Torasemide,DBMET00297,Torasemide M1 (hydroxytorsemide),BE0002887|Cytochrome P450 2C8|P10632||BE0002793|Cytochrome P450 2C9|P11712
174,DB00214,1,DB00214,Torasemide,DBMET02231,Torasemide M4,BE0002887|Cytochrome P450 2C8|P10632||BE0002793|Cytochrome P450 2C9|P11712
175,DB00214,1,DB00214,Torasemide,DBMET02232,Torasemide M2,BE0002887|Cytochrome P450 2C8|P10632||BE0002793|Cytochrome P450 2C9|P11712
176,DB00214,1,DB00214,Torasemide,DBMET02233,Torasemide M3,BE0002887|Cytochrome P450 2C8|P10632||BE0002793|Cytochrome P450 2C9|P11712
177,DB00214,2,DBMET00297,Torasemide M1 (hydroxytorsemide),DBMET02230,Torasemide M5,
178,DB00215,1,DB00215,Citalopram,DBMET03704,desmethylcitalopram,BE0003536|Cytochrome P450 2C19|P33261||BE0002638|Cytochrome P450 3A4|P08684
179,DB00215,1,DB00215,Citalopram,DBMET03706,Citalopram propionic aldehyde,BE0002198|Amine oxidase [flavin-containing] A|P21397||BE0002196|Amine oxidase [flavin-containing] B|P27338
180,DB00215,1,DB00215,Citalopram,DBMET03708,citalopram N-oxide,BE0002363|Cytochrome P450 2D6|P10635
181,DB00215,2,DBMET03704,desmethylcitalopram,DBMET03705,didemethylcitalopram,BE0002363|Cytochrome P450 2D6|P10635
182,DB00215,2,DBMET03704,desmethylcitalopram,DBMET03706,Citalopram propionic aldehyde,BE0002198|Amine oxidase [flavin-containing] A|P21397||BE0002196|Amine oxidase [flavin-containing] B|P27338
183,DB00215,2,DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid,BE0003539|Aldehyde oxidase|Q06278
184,DB00215,3,DBMET03705,didemethylcitalopram,DBMET03706,Citalopram propionic aldehyde,BE0002198|Amine oxidase [flavin-containing] A|P21397||BE0002196|Amine oxidase [flavin-containing] B|P27338
185,DB00215,3,DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid,BE0003539|Aldehyde oxidase|Q06278
186,DB00215,4,DBMET03706,Citalopram propionic aldehyde,DBMET03707,Citalopram propionic acid,BE0003539|Aldehyde oxidase|Q06278
187,DB00216,1,DB00216,Eletriptan,DBMET00088,N-Desmethyleletriptan,BE0002363|Cytochrome P450 2D6|P10635||BE0002638|Cytochrome P450 3A4|P08684||BE0002793|Cytochrome P450 2C9|P11712||BE0003536|Cytochrome P450 2C19|P33261
188,DB00216,1,DB00216,Eletriptan,DBMET00089,Eletriptan N-oxide,BE0000017|Prostaglandin G/H synthase 1|P23219
189,DB00220,1,DB00220,Nelfinavir,DBMET01800,Nelfinavir hydroxyl-t- butylamide,BE0003536|Cytochrome P450 2C19|P33261
190,DB00220,1,DB00220,Nelfinavir,DBMET01801,"3,4-Dihydroxynelfinavir",BE0002638|Cytochrome P450 3A4|P08684
191,DB00222,1,DB00222,Glimepiride,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,BE0002793|Cytochrome P450 2C9|P11712
192,DB00222,2,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DBMET01327,Cyclohexyl carboxyl glimepiride,BE0004352|Aldo-keto reductase family 1 member A1|P14550
193,DB00224,1,DB00224,Indinavir,DBMET00373,Metabolite M6,BE0002638|Cytochrome P450 3A4|P08684
194,DB00227,1,DB00227,Lovastatin,DBMET01698,6'beta-Hydroxylovastatin,BE0002638|Cytochrome P450 3A4|P08684
195,DB00227,1,DB00227,Lovastatin,DBMET01699,3''-Hydroxylovastatin,BE0002638|Cytochrome P450 3A4|P08684
196,DB00227,1,DB00227,Lovastatin,DBMET02237,6'-exomethylene lovastatin,BE0002638|Cytochrome P450 3A4|P08684
197,DB00228,1,DB00228,Enflurane,DBMET01560,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",BE0003533|Cytochrome P450 2E1|P05181
198,DB00230,1,DB00230,Pregabalin,DBMET01540,N-methylpregabalin,
199,DB00231,1,DB00231,Temazepam,DBMET00246,Oxazepam,BE0002638|Cytochrome P450 3A4|P08684||BE0003536|Cytochrome P450 2C19|P33261
200,DB00231,1,DB00231,Temazepam,DBMET00650,Oxazepam glucuronide,
201,DB00238,1,DB00238,Nevirapine,DBMET00074,12-Hydroxynevirapine,BE0002793|Cytochrome P450 2C9|P11712||BE0002363|Cytochrome P450 2D6|P10635||BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
202,DB00238,1,DB00238,Nevirapine,DBMET00075,2-Hydroxynevirapine,BE0002638|Cytochrome P450 3A4|P08684||BE0002362|Cytochrome P450 3A5|P20815
203,DB00238,1,DB00238,Nevirapine,DBMET00076,8-Hydroxynevirapine,BE0002363|Cytochrome P450 2D6|P10635||BE0003549|Cytochrome P450 2B6|P20813||BE0002638|Cytochrome P450 3A4|P08684
204,DB00238,1,DB00238,Nevirapine,DBMET00077,3-Hydroxynevirapine,BE0003549|Cytochrome P450 2B6|P20813
205,DB00238,1,DB00238,Nevirapine,DBMET01713,2-OH-nevirapine,BE0002638|Cytochrome P450 3A4|P08684
206,DB00238,1,DB00238,Nevirapine,DBMET01714,8-OH-nevirapine,BE0002363|Cytochrome P450 2D6|P10635||BE0003549|Cytochrome P450 2B6|P20813||BE0002638|Cytochrome P450 3A4|P08684
