reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
3370,DB11113,1,DB11113,Castor oil,DBMET02109,Glycerol,BE0000683|Pancreatic triacylglycerol lipase|P16233
3371,DB11113,1,DB11113,Castor oil,DB02955,Ricinoleic acid,BE0000683|Pancreatic triacylglycerol lipase|P16233
3372,DB11118,1,DB11118,Ammonia,DB03904,Urea,
3373,DB11121,1,DB11121,Chloroxylenol,DBMET00488,Glucuronic acid,BE0003541|UDP-glucuronosyltransferase 1A1|P22309
3374,DB11121,1,DB11121,Chloroxylenol,DB11309,Sulfuric acid,BE0003541|UDP-glucuronosyltransferase 1A1|P22309
3375,DB11127,1,DB11127,Selenious acid,DBMET01468,Selenodiglutathione,
3376,DB11127,1,DB11127,Selenious acid,DBMET01458,Hydrogen Selenide,"BE0001979|Thioredoxin reductase 1, cytoplasmic|Q16881"
3377,DB11127,2,DBMET01468,Selenodiglutathione,DBMET01458,Hydrogen Selenide,"BE0000648|Glutathione reductase, mitochondrial|P00390"
3378,DB11127,2,DBMET01458,Hydrogen Selenide,DBMET01461,Methyl-selenol,
3379,DB11127,2,DBMET01458,Hydrogen Selenide,DBMET01459,Selenocysteine,
3380,DB11127,2,DBMET01458,Hydrogen Selenide,DBMET01460,Selenophosphate,
3381,DB11127,3,DBMET01461,Methyl-selenol,DBMET01462,Dimethyl selenide,
3382,DB11127,3,DBMET01459,Selenocysteine,DBMET01461,Methyl-selenol,BE0004605|Selenocysteine lyase|Q96I15
3383,DB11127,3,DBMET01459,Selenocysteine,DBMET01466,Se-methylselenocysteine selenoxide,
3384,DB11127,4,DBMET01462,Dimethyl selenide,DBMET01463,Trimethylselenonium,
3385,DB11127,4,DBMET01466,Se-methylselenocysteine selenoxide,DBMET01467,Methyl selenic acid,
3386,DB11130,1,DB11130,Opium,DBMET01172,6-Monoacetylmorphine,
3387,DB11130,2,DBMET01172,6-Monoacetylmorphine,DBMET00313,morphine,
3388,DB11130,3,DBMET00313,morphine,DB06409,Morphine glucuronide,
3389,DB11130,3,DBMET00313,morphine,DBMET00462,morphine-3-glucuronide,
3390,DB11130,4,DB06409,Morphine glucuronide,DBMET02018,"morphine-3,6-diglucuronide",
3391,DB11130,4,DBMET00462,morphine-3-glucuronide,DBMET02018,"morphine-3,6-diglucuronide",
3392,DB11143,1,DB11143,Cresol,DBMET02032,p-cresol glucuronide,BE0003541|UDP-glucuronosyltransferase 1A1|P22309
3393,DB11143,1,DB11143,Cresol,DBMET02031,p-cresol sulfate,BE0003541|UDP-glucuronosyltransferase 1A1|P22309
3394,DB11145,1,DB11145,Oxyquinoline,DBMET02059,Glucuronide Conjugate (Oxyquinoline),
3395,DB11145,1,DB11145,Oxyquinoline,DBMET02060,Sulfate Conjugate (Oxyquinoline),
3396,DB11195,1,DB11195,Xylitol,DB03947,D-Xylulose,BE0009338|Xylitol dehydrogenase|E5G6H4
3397,DB11195,2,DB03947,D-Xylulose,DBMET02033,D-Xylulose-5-phosphate,
3398,DB11204,1,DB11204,Panthenol,DB01783,Pantothenic acid,
3399,DB11217,1,DB11217,Arbutin,DB01914,D-glucose,
3400,DB11217,1,DB11217,Arbutin,DB09526,Hydroquinone,
3401,DB11217,2,DB09526,Hydroquinone,DBMET02100,hydroquinone glucuronide,
3402,DB11217,2,DB09526,Hydroquinone,DBMET02101,hydroquinone sulfate,
3403,DB11219,1,DB11219,Enzacamene,DBMET02091,3-(4-hydroxymethylbenzylidene)camphor,
3404,DB11219,2,DBMET02091,3-(4-hydroxymethylbenzylidene)camphor,DBMET02092,3-(4-carboxybenzylidene)camphor,"BE0004352|Aldo-keto reductase family 1 member A1|P14550||BE0000133|Aldehyde dehydrogenase, mitochondrial|P05091"
3405,DB11219,3,DBMET02092,3-(4-carboxybenzylidene)camphor,DBMET02093,3-(4-carboxybenzylidene)-6-hydroxycamphor,
3406,DB11251,1,DB11251,Tocopherol,DBMET02034,13'-hydroxychromanol,BE0004727|Cytochrome P450 4F2|P78329||BE0002638|Cytochrome P450 3A4|P08684
3407,DB11251,2,DBMET02034,13'-hydroxychromanol,DBMET02035,13'-carboxychromanol,
3408,DB11251,3,DBMET02035,13'-carboxychromanol,DBMET02036,CDMDHC,
3409,DB11251,4,DBMET02036,CDMDHC,DBMET02037,CDMOHC,
3410,DB11251,5,DBMET02037,CDMOHC,DBMET02038,CDMHHC,
