node_idx,average_mass,monoisotopic_mass,is_biotech,state_solid,state_liquid,state_gas,calc_logP,calc_logS,calc_mol_weight,calc_hbd,calc_hba,calc_rotb,calc_psa,calc_charge,calc_n_rings,calc_bioavail,calc_rule5,calc_ghose,calc_mddrl,calc_refractivity,calc_polarizability,calc_pka_acid,calc_pka_basic,exp_logP,exp_logS,exp_melting_pt,exp_boiling_pt,exp_water_sol,exp_pKa,is_withdrawn,is_investigational,is_vet_approved,is_nutraceutical,is_illicit,n_targets,n_enzymes,n_carriers,n_transporters,n_categories,n_atc_codes,n_patents,n_products,n_food_interactions,n_synonyms,atc_A,atc_B,atc_C,atc_D,atc_G,atc_H,atc_J,atc_L,atc_M,atc_N,atc_P,atc_R,atc_S,atc_V,kingdom_organic,kingdom_inorganic,sc_organoheterocyclic_compounds,sc_benzenoids,sc_organic_acids,sc_organic_acids_and_derivatives,sc_lipids_and_lipid-like_molecule,sc_organic_oxygen_compounds,sc_phenylpropanoids_and_polyketid,sc_mixed_metal_non-metal_compound,sc_organic_nitrogen_compounds,sc_alkaloids_and_derivatives
10,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.1992543678288672,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2871568393631434,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,2.0,242.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.0344372337020993,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,18.0,1.0,0.0,3.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3.6901660682328075,3.6925972649776777,0.0,1.0,0.0,0.0,-0.9158144184288958,-0.8197192650376716,3.6901660682328075,5.715501048872941,3.669722548815022,4.566906602319,5.174857104221363,1.1288909255856996,2.2571522684921272,-3.2187572328514045,-2.3425100513830497,-0.6327127096901252,2.5317565522595,4.212017355993387,4.260321533964463,0.037765771426162664,1.817605941079146,-0.13488169811648842,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,1.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2102421767706517,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2871568393631434,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,1.0,438.0,1.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,4.0,34.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.1992543678288672,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2102421767706517,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,1.0,2.0,46.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,17.0,1.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.1992543678288672,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,37.0,2.0,2.0,85.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2651812214795743,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.1312662493366925,-0.13262052635055643,1.0,1.0,0.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,15.0,1.0,2.0,190.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.023558811057922718,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,2.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5.9039748641350895,5.906438979112541,0.0,0.0,1.0,0.0,1.2125497405807564,-1.6423331577840126,5.9039748641350895,6.83708187675695,3.124919551104044,7.404232860373444,5.476107391275984,-0.004965795860347653,3.4950620394425735,-3.2187572328514045,-2.3425100513830497,-0.6327127096901252,2.5317565522595,7.244761243439219,7.1509785206809635,0.6122377152215275,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,0.6466975343909335,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,0.0,78.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.1992543678288672,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,0.0,0.0,183.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2102421767706517,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-0.9794981889931765,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,17.0,5.0,49.0,509.0,1.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.1312662493366925,-0.13262052635055643,1.0,0.0,1.0,0.0,0.06490239993829701,-0.07188845345008964,-0.1312662493366925,-0.26626336650843857,-0.14389843516182568,-0.1063366462412602,-0.1401393665691914,-0.004965795860347653,-0.21866727340876485,0.310614121258471,0.42680348322782885,-0.6327127096901252,-0.39490031082736166,-0.08344384947602002,-0.08718320742631804,0.08476802137305604,0.08756587808085661,-0.01387901065516433,-0.02751463411546361,-1.2102421767706517,-0.07771139130807232,-0.01986468195706555,0.05398933138494591,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,2.0,8.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
